"C S 379H Presentations","Mon,  01 Dec 2014 8:00 CST","","Room: GDC 5.516"
"Registrar - ANALYTICAL METHODS I","Mon,  01 Dec 2014 8:30 CST","","Room: GDC 4.302"
"OEA Weekly Meeting","Mon,  01 Dec 2014 9:00 CST","","Room: GDC 2.712"
"Registrar - COMP ORGANIZATN & ARCH-C S","Mon,  01 Dec 2014 9:00 CST","","Room: GDC 2.216"
"Registrar - ESL Fall 2014 ","Mon,  01 Dec 2014 9:00 CST","","Room: GDC 2.402"
"Registrar - DECISION PATHWAYS","Mon,  01 Dec 2014 9:00 CST","","Room: GDC 5.304"
"Registrar - NANOMETER SCALE IC DESIGN","Mon,  01 Dec 2014 9:00 CST","","Room: GDC 4.304"
"Registrar - ESL Classes ","Mon,  01 Dec 2014 9:00 CST","","Room: GDC 2.502"
"Registrar - ESL Fall 2014 ","Mon,  01 Dec 2014 9:00 CST","","Room: GDC 2.410"
"Registrar - DISCRETE MATH FOR COMPUTER SCI","Mon,  01 Dec 2014 9:00 CST","","Room: GDC 2.210"
"Registrar - THE FINITE ELEMENT METHOD","Mon,  01 Dec 2014 9:00 CST","","Room: GDC 1.304"
"Registrar - PROBABILISTIC GRAPHICAL MODEL","Mon,  01 Dec 2014 9:30 CST","","Room: GDC 1.406"
"State Farm Company Day","Mon,  01 Dec 2014 9:30 CST","","Room: GDC 2.100"
"Registrar - GENETICS","Mon,  01 Dec 2014 10:00 CST","","Room: GDC 6.202"
"Registrar - ELEMS OF COMPUTING IN SOCIETY","Mon,  01 Dec 2014 10:00 CST","","Room: GDC 5.302"
"Registrar - DIFFEREN CALCULUS FOR SCIENCE","Mon,  01 Dec 2014 10:00 CST","","Room: GDC 4.302"
"Academics - Staff Meeting","Mon,  01 Dec 2014 10:00 CST","","Room: GDC 2.712"
"C S 386W (Qiu)","Mon,  01 Dec 2014 10:00 CST","","Room: GDC 2.506"
"Registrar - INTRODUCTION TO NUMBER THEORY","Mon,  01 Dec 2014 10:00 CST","","Room: GDC 2.210"
"Registrar - FOUNDATIONS OF LOGICAL THOUGHT","Mon,  01 Dec 2014 10:00 CST","","Room: GDC 1.304"
"Bruce class projects meeting","Mon,  01 Dec 2014 10:00 CST","",""
"State Farm Company Day","Mon,  01 Dec 2014 10:00 CST","GDC Atrium",""
"Registrar - ELEMS OF COMPUTERS/PROGRAMMING","Mon,  01 Dec 2014 11:00 CST","","Room: GDC 2.216"
"Registrar - GENETICS","Mon,  01 Dec 2014 11:00 CST","","Room: GDC 2.402"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  01 Dec 2014 11:00 CST","","Room: GDC 6.202"
"Registrar - DATA STRUCTURES: HONORS","Mon,  01 Dec 2014 11:00 CST","","Room: GDC 5.302"
"Registrar - PRACTICAL LINEAR ALGEBRA I","Mon,  01 Dec 2014 11:00 CST","","Room: GDC 4.304"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  01 Dec 2014 11:00 CST","","Room: GDC 4.302"
"Registrar - FIRST-YR INTEREST GROUP-CNS","Mon,  01 Dec 2014 11:00 CST","","Room: GDC 2.410"
"Registrar - COMPUTING CRYPTOGRAPHIC DATA","Mon,  01 Dec 2014 11:00 CST","","Room: GDC 2.210"
"Registrar - DISCRETE MATH FOR COMPUTER SCI","Mon,  01 Dec 2014 11:00 CST","","Room: GDC 1.406"
"Registrar - PROGRAMMING LANGUAGES","Mon,  01 Dec 2014 11:00 CST","","Room: GDC 1.304"
"Witchel research group meeting","Mon,  01 Dec 2014 12:00 CST","","Room: GDC 6.516"
"Registrar - TOPICS IN NAT SCI HON SEMINAR","Mon,  01 Dec 2014 12:00 CST","","Room: GDC 2.402"
"Registrar - ECO 329 Supplemental Instruction ","Mon,  01 Dec 2014 12:00 CST","","Room: GDC 4.302"
"Witchel Research Group Meeting","Mon,  01 Dec 2014 12:00 CST","","Room: GDC 6.440"
"Registrar - DISCRETE MATH FOR COMPUTER SCI","Mon,  01 Dec 2014 12:00 CST","","Room: GDC 1.406"
"Registrar - GAME DEVEL CAPSTONE: 2D GAMES","Mon,  01 Dec 2014 12:30 CST","","Room: GDC 6.202"
"Registrar - PROGRAMMING FOR PERFORMANCE","Mon,  01 Dec 2014 12:30 CST","","Room: GDC 5.302"
"Registrar - ELEMS OF COMPUTERS/PROGRAMMING","Mon,  01 Dec 2014 13:00 CST","","Room: GDC 2.216"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  01 Dec 2014 13:00 CST","","Room: GDC 4.302"
"Registrar - INTRODUCTORY BIOLOGY II","Mon,  01 Dec 2014 13:00 CST","","Room: GDC 2.410"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  01 Dec 2014 13:00 CST","","Room: GDC 2.210"
"Registrar - TOPICS IN CALCULUS","Mon,  01 Dec 2014 13:00 CST","","Room: GDC 1.406"
"Registrar - COMPUTER PROGRAMMING: C++","Mon,  01 Dec 2014 13:00 CST","","Room: GDC 1.304"
"Registrar - ECOLOGY","Mon,  01 Dec 2014 14:00 CST","","Room: GDC 6.202"
"Registrar - ELEMENTS OF WEB PROGRAMMING","Mon,  01 Dec 2014 14:00 CST","","Room: GDC 5.302"
"Registrar - ALGORITHMS: TECHNIQUES & THRY","Mon,  01 Dec 2014 14:00 CST","","Room: GDC 4.304"
"Registrar - THEORY OF COMPUTATION","Mon,  01 Dec 2014 14:00 CST","","Room: GDC 4.302"
"Registrar - COMPUTER PROGRAMMING: PYTHON","Mon,  01 Dec 2014 14:00 CST","","Room: GDC 2.506"
"Registrar - ESL Fall 2014 ","Mon,  01 Dec 2014 14:00 CST","","Room: GDC 2.502"
"Registrar - COMP INTEL IN GAME DSGN II-FRI","Mon,  01 Dec 2014 14:00 CST","","Room: GDC 2.410"
"C S 395T (Dillig, T.)","Mon,  01 Dec 2014 14:00 CST","",""
"Chao's Group Meeting @ Monday","Mon,  01 Dec 2014 14:00 CST","","Room: GDC 6.416"
"Registrar - TOPICS IN CALCULUS","Mon,  01 Dec 2014 14:00 CST","","Room: GDC 2.210"
"Registrar - INTRODUCTORY BIOLOGY II","Mon,  01 Dec 2014 14:00 CST","","Room: GDC 1.406"
"Registrar - INTRO TO GAME DEVELOPMENT","Mon,  01 Dec 2014 14:00 CST","","Room: GDC 1.304"
"BEACON Class (CS for Biologists)","Mon,  01 Dec 2014 14:15 CST","",""
"Tech Staff - code audit","Mon,  01 Dec 2014 14:30 CST","","Room: GDC 2.104"
"CS 303E Discussion / Review","Mon,  01 Dec 2014 15:00 CST","","Room: GDC 6.302"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  01 Dec 2014 15:00 CST","","Room: GDC 2.216"
"Registrar - SUPPL INSTRUCTION FOR M 427K","Mon,  01 Dec 2014 15:00 CST","","Room: GDC 2.402"
"Registrar - ECOLOGY","Mon,  01 Dec 2014 15:00 CST","","Room: GDC 5.304"
"Dr. Cannata Office Hours","Mon,  01 Dec 2014 15:00 CST","","Room: GDC 5.416"
"Registrar - ECOLOGY, EVOLUTION, & SOCIETY","Mon,  01 Dec 2014 15:00 CST","","Room: GDC 1.406"
"Registrar - AUTOMATED SOFTWARE DESIGN","Mon,  01 Dec 2014 15:30 CST","","Room: GDC 6.202"
"Registrar - COMPUTER NETWORKS","Mon,  01 Dec 2014 15:30 CST","","Room: GDC 5.302"
"Registrar -  AUTON INTELLGNT ROBTCS II-FRI","Mon,  01 Dec 2014 15:30 CST","","Room: GDC 2.410"
"Project presentations","Mon,  01 Dec 2014 15:30 CST","","Room: GDC 4.304"
"Registrar - COMPUTER FLUENCY","Mon,  01 Dec 2014 16:00 CST","","Room: GDC 2.216"
"Registrar - CH301 TA Meetings ","Mon,  01 Dec 2014 16:00 CST","","Room: GDC 5.304"
"Registrar - CELLULAR & MOLECULAR NUTRITION","Mon,  01 Dec 2014 16:00 CST","","Room: GDC 4.302"
"Registrar - COMPUTER PROGRAMMING: PHP/SQL","Mon,  01 Dec 2014 16:00 CST","","Room: GDC 2.506"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  01 Dec 2014 16:00 CST","","Room: GDC 2.210"
"Registrar - 16-POLITICAL PSYCHOLOGY","Mon,  01 Dec 2014 16:00 CST","","Room: GDC 1.406"
"Registrar - DATA MANAGEMENT","Mon,  01 Dec 2014 16:00 CST","","Room: GDC 1.304"
"Bruce class projects meeting","Mon,  01 Dec 2014 16:00 CST","",""
"Registrar - Learn To Be ","Mon,  01 Dec 2014 16:30 CST","","Room: GDC 2.502"
"Registrar - UGTA Meetings SDS 302 ","Mon,  01 Dec 2014 17:00 CST","","Room: GDC 2.402"
"Registrar - SI Discussion Section ","Mon,  01 Dec 2014 17:00 CST","","Room: GDC 6.202"
"Registrar - CELLULAR & MOLECULAR NUTRITION","Mon,  01 Dec 2014 17:00 CST","","Room: GDC 4.302"
"Registrar - CH 302 Office Hours ","Mon,  01 Dec 2014 17:00 CST","","Room: GDC 2.210"
"cs347 Extension","Mon,  01 Dec 2014 17:30 CST","","Room: GDC 1.304"
"Registrar - Lower-Division Study Sessions ","Mon,  01 Dec 2014 17:30 CST","","Room: GDC 1.406"
"UTCS Study Hall (ACM)","Mon,  01 Dec 2014 18:00 CST","","Room: GDC 2.410"
"UTCS Study Hall (ACM)","Mon,  01 Dec 2014 18:00 CST","","Room: GDC 2.402"
"Registrar - Information and Systems Security Workshops ","Mon,  01 Dec 2014 18:00 CST","","Room: GDC 5.304"
"CS 341 Automata Theory Problem Session","Mon,  01 Dec 2014 18:00 CST","","Room: GDC 6.302"
"ISSS General Meeting","Mon,  01 Dec 2014 18:00 CST","","Room: GDC 5.302"
"M 340L-CS Tutoring Session","Mon,  01 Dec 2014 18:00 CST","","Room: GDC 6.202"
"Registrar - CS Development Workshops ","Mon,  01 Dec 2014 19:00 CST","","Room: GDC 2.210"
